epoch,train_loss,train_acc,val_loss,val_acc
1,1.181578134733533,0.5238095238095238,6.3945746055016155,0.6923076923076923
2,0.7597163004219216,0.4973544973544973,2.232833752265343,0.6923076923076923
3,0.6230997802719237,0.6190476190476191,6.517477524586213,0.6923076923076923
4,0.4120520708106813,0.8783068783068783,4.573321146842761,0.6923076923076923
5,0.306900198812838,0.8412698412698413,9.534906387329102,0.6923076923076923
6,0.3273165656460656,0.8624338624338624,10.726143665802784,0.6923076923076923
7,0.30232066026440374,0.8677248677248677,7.782943334334936,0.6923076923076923
8,0.23650762974900544,0.9153439153439153,2.8383763631184897,0.6153846153846154
9,0.16176627008687883,0.9417989417989417,2.364869142190004,0.6923076923076923
10,0.12249183639016732,0.9470899470899471,3.8629591037065554,0.6923076923076923
11,0.10219132277385268,0.9523809523809523,4.437875234163725,0.6153846153846154
12,0.0615890922133254,0.9735449735449735,2.865094307141426,0.6923076923076923
13,0.14379799681365804,0.9629629629629629,0.6776692695342578,0.8461538461538461
14,0.1463418879679271,0.9417989417989417,1.9482950797447791,0.6153846153846154
15,0.30118737681202157,0.8835978835978836,1.7583926029694386,0.7692307692307693
16,0.15998648067630789,0.9365079365079365,4.509173393249512,0.6923076923076923
17,0.14279813268197278,0.9523809523809523,3.1534580328525643,0.6923076923076923
18,0.06354661047379806,0.9788359788359788,3.6856778462727866,0.5384615384615384
19,0.14561152860285745,0.9365079365079365,2.068041116763384,0.6923076923076923
20,0.333229523487192,0.8941798941798942,5.762370916513296,0.6923076923076923
21,0.0908410872022311,0.9735449735449735,2.4099236023731723,0.6923076923076923
22,0.16217613914025525,0.9153439153439153,1.6766108855223045,0.6923076923076923
23,0.07925107964762935,0.9735449735449735,5.653072992960612,0.6923076923076923
24,0.13203488418428355,0.9682539682539683,15.057770557892628,0.3076923076923077
25,0.113295379020865,0.9629629629629629,16.810631385216347,0.3076923076923077
26,0.11712991193961844,0.9470899470899471,4.021729151407878,0.46153846153846156
27,0.08096376449736968,0.9788359788359788,4.1216541437002325,0.46153846153846156
28,0.05559594211754976,0.9894179894179894,2.4998197311010117,0.6923076923076923
29,0.10191737318401614,0.9523809523809523,3.224405900025979,0.6923076923076923
30,0.031087736387259115,0.9894179894179894,3.360935235634828,0.6923076923076923
