epoch,train_mse,train_mae,train_exact_int,val_mse,val_mae,val_exact_int
1,357.2176513671875,14.394896507263184,0.03412500023841858,326.5660400390625,13.615484237670898,0.041999999433755875
2,90.23954772949219,7.6623311042785645,0.045375000685453415,86.0296859741211,7.387894630432129,0.05900000035762787
3,46.35231018066406,5.369753360748291,0.06475000083446503,45.08443069458008,5.208526134490967,0.07199999690055847
4,19.758968353271484,3.445755958557129,0.1120000034570694,18.753036499023438,3.3111793994903564,0.11100000143051147
5,6.642932891845703,1.9119685888290405,0.23537500202655792,6.181268692016602,1.8288562297821045,0.24699999392032623
6,2.5433943271636963,1.1850944757461548,0.2993749976158142,2.3983120918273926,1.1481132507324219,0.33000001311302185
7,1.572421669960022,0.9122265577316284,0.4037500023841858,1.4832900762557983,0.8891401886940002,0.40299999713897705
8,1.3307883739471436,0.8504717350006104,0.4348750114440918,1.2946783304214478,0.8397263288497925,0.4410000145435333
9,1.1697471141815186,0.8123711943626404,0.4230000078678131,1.1377167701721191,0.8046891689300537,0.41499999165534973
10,1.0223720073699951,0.7497571706771851,0.4671249985694885,0.9846617579460144,0.7404680848121643,0.4650000035762787
11,0.8886365294456482,0.7018179893493652,0.4846250116825104,0.8529906272888184,0.6939500570297241,0.47099998593330383
12,0.7757109999656677,0.6463093161582947,0.5323749780654907,0.7336937189102173,0.6351541876792908,0.531000018119812
13,0.6667647361755371,0.6017317771911621,0.5607500076293945,0.6321620345115662,0.5930894613265991,0.5350000262260437
14,0.5782555937767029,0.5571161508560181,0.6042500138282776,0.5460185408592224,0.548091471195221,0.5929999947547913
15,0.5074983239173889,0.5140174627304077,0.6516249775886536,0.4841576814651489,0.5082333087921143,0.6439999938011169
16,0.43827587366104126,0.47720006108283997,0.687125027179718,0.40883147716522217,0.467147558927536,0.6919999718666077
17,0.38069185614585876,0.44575414061546326,0.7142500281333923,0.350122332572937,0.4336315989494324,0.7200000286102295
18,0.33047670125961304,0.41098901629447937,0.7549999952316284,0.3047954738140106,0.40007439255714417,0.7680000066757202
19,0.29058095812797546,0.3799705505371094,0.765749990940094,0.27052968740463257,0.37062543630599976,0.7770000100135803
20,0.2562074363231659,0.35969486832618713,0.796750009059906,0.23722144961357117,0.34861132502555847,0.8149999976158142
21,0.22695982456207275,0.3365122675895691,0.812874972820282,0.21111257374286652,0.3267565965652466,0.8270000219345093
22,0.20269803702831268,0.32051825523376465,0.831125020980835,0.18746870756149292,0.31178152561187744,0.8450000286102295
23,0.183063805103302,0.30139103531837463,0.8424999713897705,0.1698998212814331,0.2938567101955414,0.8529999852180481
24,0.16675393283367157,0.28890755772590637,0.8612499833106995,0.15584422647953033,0.28321292996406555,0.8650000095367432
25,0.15285491943359375,0.279155433177948,0.8708750009536743,0.14290903508663177,0.2740609049797058,0.8730000257492065
26,0.14089491963386536,0.26836737990379333,0.8778749704360962,0.13185064494609833,0.2644071578979492,0.8849999904632568
27,0.13147670030593872,0.262053906917572,0.8842499852180481,0.12338804453611374,0.2590993046760559,0.8949999809265137
28,0.12301646173000336,0.25302883982658386,0.8870000243186951,0.11529692262411118,0.250381737947464,0.8960000276565552
29,0.1150701567530632,0.246901735663414,0.8992499709129333,0.10775762796401978,0.2446235567331314,0.9070000052452087
30,0.10714709013700485,0.23704764246940613,0.9018750190734863,0.10060054063796997,0.2352941930294037,0.9100000262260437
