epoch,train_loss,train_acc,val_loss,val_acc
1,0.5757791378862782,0.7777777777777778,56.00871674910836,0.717391304347826
2,0.25418726088340243,0.9178082191780822,10.809749990269758,0.717391304347826
3,0.16136163908596998,0.943683409436834,3.71155063052108,0.717391304347826
4,0.19821272822184832,0.9223744292237442,0.17125416579453842,0.9347826086956522
5,0.10787896147420235,0.958904109589041,0.3079824059816968,0.8913043478260869
6,0.11764784412433023,0.969558599695586,1.7900427599446815,0.5434782608695652
7,0.058406903046995536,0.9771689497716894,1.107137590714231,0.7391304347826086
8,0.06648319925619586,0.9786910197869102,0.16128657789533093,0.9565217391304348
9,0.16214213748228604,0.9497716894977168,2.3482054540773794,0.7391304347826086
10,0.12407726670871949,0.9512937595129376,0.09371491931918738,0.9782608695652174
11,0.07411776140014693,0.9726027397260274,1.1085216549859531,0.717391304347826
12,0.07689779493362392,0.9665144596651446,6.467493001965509,0.717391304347826
13,0.04288657606385161,0.9817351598173516,0.24667264378049236,0.9565217391304348
14,0.03976693465636655,0.984779299847793,11.40175147678541,0.2826086956521739
15,0.024063145934605526,0.989345509893455,3.013996701309634,0.7391304347826086
16,0.06145635416201079,0.9817351598173516,2.527710948301378,0.782608695652174
17,0.09815760662203692,0.9634703196347032,3.294851022342323,0.717391304347826
18,0.0920774188676574,0.9649923896499238,0.436046197319545,0.9347826086956522
19,0.030038712525320675,0.9923896499238964,7.510671781456989,0.30434782608695654
20,0.049118601192565725,0.9832572298325722,2.2419560153817173,0.7391304347826086
21,0.04459669582171527,0.984779299847793,0.2261244371275888,0.9347826086956522
22,0.03514537377886494,0.989345509893455,0.18044598236345968,0.9565217391304348
23,0.004821631395438037,1.0,0.16766634977935557,0.9347826086956522
24,0.0052700125580601095,0.9984779299847792,2.4196200071685556,0.5434782608695652
25,0.01855817097423476,0.9939117199391172,0.33413105948652694,0.8913043478260869
26,0.01383303061249571,0.9969558599695586,0.04920722869143862,0.9565217391304348
27,0.049301359884701725,0.9863013698630136,4.04962274777435,0.5
28,0.02331178937010932,0.9969558599695586,5.416265266529028,0.391304347826087
29,0.032690909763449405,0.989345509893455,7.963703431944916,0.717391304347826
30,0.04799324645032848,0.9817351598173516,5.983134504677593,0.717391304347826
