epoch,train_loss,train_acc,val_loss,val_acc
1,0.7396905016751937,0.6253086419753087,0.659155840065047,0.7982456140350878
2,0.44066493113835653,0.7802469135802469,0.4938172042718408,0.8157894736842105
3,0.35578275933677767,0.8240740740740741,0.4397662304646788,0.8421052631578947
4,0.32872860578843105,0.8487654320987654,0.36383176721327487,0.8859649122807017
5,0.28673966401889,0.8777777777777778,0.41200845631939625,0.8421052631578947
6,0.25354874825771945,0.8987654320987655,0.42377475688332006,0.8333333333333334
7,0.32148349263049936,0.8654320987654321,0.6970796204929115,0.7456140350877193
8,0.23685531814893088,0.8919753086419753,0.35318438046508366,0.8771929824561403
9,0.24814015494452582,0.8907407407407407,1.665242513494664,0.4473684210526316
10,0.25247705181439717,0.8969135802469136,0.7803819181277738,0.8070175438596491
11,0.25780073680259563,0.8888888888888888,0.43491085762517495,0.8333333333333334
12,0.21729386106685356,0.9061728395061729,0.3591174688952708,0.9035087719298246
13,0.20187354404249308,0.9154320987654321,0.4488007339120608,0.8859649122807017
14,0.20880001886391344,0.9092592592592592,0.5807190666857519,0.7807017543859649
15,0.1763243709449415,0.9271604938271605,1.943556738855339,0.631578947368421
16,0.1962771929340598,0.921604938271605,0.5185303447539347,0.7894736842105263
17,0.15105869047067783,0.9438271604938272,0.6238920442454996,0.8596491228070176
18,0.16210947897699143,0.9351851851851852,0.7022602202613124,0.8333333333333334
19,0.14144887169938028,0.9425925925925925,0.9967755992510166,0.7105263157894737
20,0.15793538137718482,0.9308641975308642,0.5605702509134136,0.7894736842105263
21,0.13984282094019432,0.9401234567901234,0.5196904526555051,0.8859649122807017
22,0.1214968729166337,0.9462962962962963,0.6578520642517255,0.8421052631578947
23,0.14649145890165258,0.9395061728395062,0.9600376762144747,0.7280701754385965
24,0.10679671669631828,0.9580246913580247,1.300332390294786,0.7192982456140351
25,0.1420976636218436,0.941358024691358,0.5718324691580053,0.8070175438596491
26,0.08175497453337834,0.9623456790123457,0.9751025741560417,0.7719298245614035
27,0.06189551654237288,0.9814814814814815,0.8308792905555221,0.7719298245614035
28,0.05177317336431624,0.9777777777777777,1.9245036089260044,0.6929824561403509
29,0.07040856064837656,0.9734567901234568,0.735668278609713,0.7807017543859649
30,0.08526547216338876,0.9666666666666667,1.1654265493949605,0.8245614035087719
