num_features,features,wMAPE_val,RMSE_val,MAE_val,R2_val,wMAPE_test,RMSE_test,MAE_test,R2_test
1,"('carat',)",0.20979010656515695,1487.9386158770485,884.5083060455745,0.8712278856694545,0.22150820170218258,1434.835952587554,808.9752719612474,0.8502431314704153
1,"('cut',)",0.737120760789713,4143.145042726391,3107.817838276555,0.0015827609090488526,0.7643369929847383,3703.162599183534,2791.4529666093995,0.0024657570762105507
1,"('color',)",0.7239693891504781,4114.129698482514,3052.3695731450316,0.015518058865093276,0.745778113812556,3622.2607863085473,2723.673650944158,0.045575281702733506
1,"('clarity',)",0.7250473234191632,4098.39440728504,3056.9143146947335,0.023034343848894356,0.7518876571482056,3686.638869980387,2745.986456716295,0.011348009062121522
1,"('depth',)",0.7583377192320524,4310.8430803962,3197.271894421211,-0.08087687456374804,0.7815822136768489,3834.382979186017,2854.434639487539,-0.06948137585781944
1,"('table',)",0.7420782406811451,4167.414545463797,3128.719358433149,-0.01014845269078224,0.7569906791132232,3685.7845978781315,2764.623322305248,0.011806139077683242
1,"('x',)",0.2344106729708666,1652.524286369217,988.312512268394,0.8411645279074723,0.2209332458115025,1388.9118912552635,806.8754621372573,0.859676101408049
1,"('y',)",0.21007395122977854,1518.4320716260493,885.705040093691,0.8658957527181638,0.2097238925519774,1400.7842226297141,765.9375215465695,0.8572668886343848
1,"('z',)",0.22237612224197195,1605.9563865283642,937.5729409248421,0.8499903180790016,0.22335445948779026,1494.189470183469,815.7180330994136,0.8375971700206604
2,"('carat', 'cut')",0.21525549357638785,1558.4184455838233,907.5512430378675,0.8587397546082833,0.22030248561396987,1411.8811900077164,804.5718481021104,0.8549964768525244
2,"('carat', 'color')",0.1789020471847569,1331.8633554553962,754.2793570884061,0.896825793712832,0.1850946125722509,1186.774280385752,675.9883534494109,0.8975484575359602
2,"('carat', 'clarity')",0.1554737246757801,1185.7828396092996,655.5018399061627,0.9182171730375057,0.15350493237076543,1083.2175230540638,560.6189452930278,0.9146480193597777
2,"('carat', 'depth')",0.21981690629867265,1574.4082525656513,926.7828812987012,0.8558261448095954,0.22450181421387033,1390.89422440229,819.9083140661409,0.8592752592433771
2,"('carat', 'table')",0.21525636095701675,1506.1234350342006,907.5549000519342,0.8680610787900409,0.22682269321668444,1447.9030585259534,828.3844504261616,0.8475030278461153
2,"('carat', 'x')",0.23241687070890538,1633.254462788578,979.9063262466074,0.8448472407102502,0.2278887052876325,1423.8761221837628,832.2776579840861,0.8525221953578057
2,"('carat', 'y')",0.2145693877654355,1526.1177265640426,904.6585123054722,0.8645347601283538,0.21244709574069717,1339.310894026399,775.8829954535008,0.8695196681337742
2,"('carat', 'z')",0.21702639364543913,1569.3014322470967,915.0176381214985,0.8567599253242115,0.23930089773630014,1531.1093955057445,873.9563923103557,0.82947239492029
2,"('cut', 'color')",0.7156076313344455,4085.6860279440434,3017.11507824765,0.02908373762971672,0.7515384315480034,3631.462961470709,2744.7110417531994,0.04071978395142317
2,"('cut', 'clarity')",0.7226950308274191,4093.2259080938516,3046.9966766816137,0.025496899554970698,0.7495767091567255,3704.9028947302163,2737.546589634491,0.001527957414213299
2,"('cut', 'depth')",0.765436493346108,4344.76791929742,3227.201450058638,-0.09795606655935618,0.785428314382077,3893.806185547849,2868.4810736154523,-0.10288672963184609
2,"('cut', 'table')",0.7434017661499065,4186.455737667062,3134.2995513676465,-0.019400410864568673,0.7722841812523144,3745.8945229314845,2820.4770783158065,-0.020688774481455674
2,"('cut', 'x')",0.23142950992782163,1613.5921482941865,975.7434568614345,0.8485604395559727,0.21500398618325037,1365.3383278863507,785.2210746995263,0.8643990245444835
2,"('cut', 'y')",0.207730752552758,1478.784496485972,875.8257434649153,0.8728074793364912,0.2047140461744847,1307.1817231250814,747.640944694913,0.8757048497333146
2,"('cut', 'z')",0.22227878105372112,1576.3918622882886,937.1625350628217,0.8554626243343489,0.2176720740708832,1411.2108310950762,794.9652607293342,0.8551341390418741
2,"('color', 'clarity')",0.6954950027674961,4021.842662259634,2932.3170517098683,0.05918994611074235,0.7314010920601548,3625.664262624028,2671.1669943383727,0.043780884117453955
2,"('color', 'depth')",0.7603153376600699,4392.196718264537,3205.6098468366504,-0.12205814534028181,0.8370173606111277,4109.942974249676,3056.8906330929804,-0.22872258731860162
2,"('color', 'table')",0.7421523870385969,4213.813496462572,3129.0319712160053,-0.032767151414730744,0.7423175117789453,3657.588436814762,2711.0351055098276,0.026867625093183634
2,"('color', 'x')",0.1999221068313301,1465.8704396976568,842.9032567344693,0.8750192948431302,0.2031373554384036,1332.788310397827,741.8826756682207,0.8707874790404236
2,"('color', 'y')",0.17992753506900866,1285.0930434103993,758.6029763773264,0.9039447864671261,0.1904186232387101,1273.7243135964995,695.432297031302,0.8819861095158863
2,"('color', 'z')",0.20071470038915504,1490.5073599575849,846.2449566682392,0.8707828832604121,0.20951097834363375,1400.898221729566,765.1599325982795,0.857243655779451
2,"('clarity', 'depth')",0.7674514401398399,4437.615454722003,3235.6967847742535,-0.1453840399978581,0.8236298871090101,4103.83951183411,3007.997928741515,-0.22507587316838085
2,"('clarity', 'table')",0.7370850959365524,4186.372488934687,3107.667469608695,-0.01935986919708843,0.7641340751220975,3778.599419789639,2790.7118855484987,-0.03858956995461882
2,"('clarity', 'x')",0.16554258560597881,1223.4571273937418,697.9537518241943,0.9129378661724744,0.16477459106185155,1116.20727061841,601.7771287574462,0.9093700075383047
2,"('clarity', 'y')",0.1600942803583717,1171.0751678087152,674.9828342519518,0.9202333523079331,0.15642961787061224,1035.9350606476962,571.30025744968,0.9219366268617536
2,"('clarity', 'z')",0.1672928347172574,1210.1725300784406,705.3330792001207,0.9148182853874285,0.16846993240185137,1189.9460178407542,615.2729710898907,0.8970001079046086
2,"('depth', 'table')",0.7737404065221165,4490.114261386672,3262.2120627949425,-0.17264507007311258,0.8203609978485108,4098.5630089718,2996.059541999163,-0.2219276210397021
2,"('depth', 'x')",0.22439185881527787,1578.743207873104,946.0716054761906,0.855031118953254,0.22425569619708507,1372.2522047711961,819.0094607142856,0.8630222197113235
2,"('depth', 'y')",0.2073283058309589,1463.2145639154862,874.1289643650794,0.8754717666570717,0.20472100522344536,1262.8189538203403,747.6663599999999,0.8839982788333811
2,"('depth', 'z')",0.21520657919831418,1520.280745513027,907.3450122751323,0.8655690131272584,0.2108037792858372,1331.5687490564685,769.8814010846561,0.8710238414042983
2,"('table', 'x')",0.2397067872620316,1683.6736424129801,1010.6417686713751,0.8351201351326973,0.22064712830697253,1390.7050711661075,805.8305257228882,0.85931353207488
2,"('table', 'y')",0.2185343248051163,1473.1091710654089,921.3753146464645,0.8737818927971576,0.21632600044382255,1366.994678609125,790.0492338275614,0.8640698182125979
2,"('table', 'z')",0.23477064230288966,1696.7147098913022,989.8301999673474,0.8325560553449683,0.22140682936159906,1480.2706995899268,808.6050476708476,0.8406087283865878
2,"('x', 'y')",0.22920914608602252,1608.6194940275177,966.3820513468013,0.8494923927994316,0.22317481150221807,1450.2417127998842,815.061936499519,0.8470100035178014
2,"('x', 'z')",0.2278436200150828,1571.9864552464792,960.6247772234248,0.8562693479138264,0.22510937295103037,1395.4802786059915,822.1271935064935,0.858345734573335
2,"('y', 'z')",0.20583794206812633,1439.967051726023,867.8453547667148,0.8793973344845002,0.20516488282724157,1272.9606503094808,749.2874557539683,0.8821275778978711
