num_features,features,wMAPE_val,RMSE_val,MAE_val,R2_val,wMAPE_test,RMSE_test,MAE_test,R2_test
1,"('carat',)",0.2593707625726102,1578.7347747060212,1010.2751438817692,0.8429129224584873,0.25372715594194206,1518.2417719117536,1001.9280234064825,0.8562209866308227
1,"('cut',)",0.7779329534744903,3978.7171448162135,3030.126906774206,0.0022810055662815243,0.7643451023301113,3995.1134094659433,3018.27675770452,0.0044298858361531135
1,"('color',)",0.7615299182340444,3926.8231314338814,2966.2354387333544,0.028137576258628894,0.7481238449499084,3938.603331102282,2954.221602536843,0.0323949762020197
1,"('clarity',)",0.757392619817104,3941.408775824451,2950.120246288385,0.02090446938166246,0.7496926007299876,3965.5821586551497,2960.41636861187,0.01909368435994052
1,"('depth',)",0.7802978439919555,3983.272268052045,3039.338392618251,-4.823950327192961e-06,0.7679123104635527,4003.616417672269,3032.3630930080863,0.0001875284383280329
1,"('table',)",0.7709488048854601,3958.3904510476095,3002.922947273571,0.012449370438550322,0.7549033281145248,3967.974669164545,2980.9926989992014,0.01790972875494734
1,"('x',)",0.35088100707430575,1851.3454176682922,1366.7167277889957,0.7839784785082236,0.3457886211581694,1834.4160157766921,1365.4640490777174,0.7901015199618571
1,"('y',)",0.3387962384088418,1852.2889473611076,1319.6453413259144,0.7837582336457298,0.33657709863409285,1993.2276493938098,1329.0892175353495,0.7521850899260276
1,"('z',)",0.3535584998574581,1884.5466687478925,1377.145830822474,0.7761609246588512,0.3544908130364014,2340.16624584967,1399.8276152300768,0.6584085053781263
2,"('carat', 'cut')",0.2557019860138511,1553.443789000009,995.9848910830066,0.8479056099007259,0.24901996144709873,1495.7035185676646,983.3400639959123,0.8604580918395044
2,"('carat', 'color')",0.25941604190232204,1526.0554187560372,1010.4515114140452,0.8532214070078633,0.2541466284575481,1466.021062407159,1003.5844533888163,0.8659415954234395
2,"('carat', 'clarity')",0.23547719039789072,1382.073646019949,917.2072829276785,0.8796116447649225,0.22621868103744025,1308.9189781177374,893.3014485896309,0.8931340979312805
2,"('carat', 'depth')",0.25921366801852685,1573.3639767390537,1009.6632448317166,0.8439799134197418,0.2529049579740402,1511.021199303495,998.6812949206392,0.8575853254698835
2,"('carat', 'table')",0.25732097783139063,1569.0961136995722,1002.2910266519694,0.8448251968473643,0.25151513601555625,1508.0363686242667,993.1931099347585,0.858147413997107
2,"('carat', 'x')",0.23403234860714672,1563.746817862514,911.5794791862231,0.8458814240491057,0.22889883062312563,1484.3575252837645,903.8849313345127,0.8625671148068631
2,"('carat', 'y')",0.25016225819651206,1571.3252598300787,974.4070954123738,0.8443839835696535,0.24486476073258526,1508.3648407444432,966.9318398809407,0.8580856121796744
2,"('carat', 'z')",0.22840559794653656,1555.1915155505012,889.6627208097142,0.8475631849764295,0.2238282646837089,1587.4236136377697,883.8620761128409,0.8428192707108251
2,"('cut', 'color')",0.7593224366017849,3922.4753557707973,2957.6370762906217,0.03028847557370007,0.7448777422243387,3930.7725042434577,2941.4032612145265,0.03623878287074689
2,"('cut', 'clarity')",0.7570761737103766,3940.4084806954634,2948.887656952432,0.02140137810956788,0.7488738060264502,3962.675817848236,2957.183079073565,0.02053095296665175
2,"('cut', 'depth')",0.7777614296038453,3977.8514239175574,3029.4588040883973,0.002715141586839165,0.7640708748228534,3993.38823321968,3017.1938770672837,0.0052895175423568475
2,"('cut', 'table')",0.7710785369172418,3958.4517090213817,3003.428266553872,0.012418804571231346,0.7551396238694569,3968.431004460555,2981.925793203484,0.017683825989745938
2,"('cut', 'x')",0.3479299967970862,1837.5786297721222,1355.2222466730682,0.7871792483355029,0.34199889623301283,1821.2299742600017,1350.4990304953737,0.7931082345030972
2,"('cut', 'y')",0.3360482949065501,1838.3400186933952,1308.9418256727977,0.7870028499709445,0.3329806373918502,1984.7467795782054,1314.887366376293,0.7542894304110197
2,"('cut', 'z')",0.35023171781702644,1858.6845941128092,1364.1876809862163,0.7822623616353622,0.34961793928165813,2330.4307243373914,1380.5854148779931,0.6612447601581526
2,"('color', 'clarity')",0.7395501476829865,3881.203758223567,2880.622027122469,0.05058738905612492,0.7305656248334744,3896.480667676953,2884.8869950113476,0.05298103019736122
2,"('color', 'depth')",0.761572074378277,3926.0104132820843,2966.399641144828,0.028539819227253238,0.7483227549640046,3937.7387473928625,2955.007066420357,0.03281973779888081
2,"('color', 'table')",0.7525622857390241,3902.8759143859083,2931.305610408355,0.03995498424058719,0.7366555737939978,3906.1634123555914,2908.935231007261,0.04826850262825488
2,"('color', 'x')",0.35204986791679366,1829.2004520710148,1371.2695580467687,0.789115476005805,0.3473470724192883,1814.4377472561412,1371.6181242528064,0.7946485511296063
