epoch,train_mse,train_mae,train_exact_int,val_mse,val_mae,val_exact_int
1,4407035.0,1596.690673828125,0.0005000000237487257,4425587.0,1608.709228515625,0.0
2,885084.9375,752.41357421875,0.000375000003259629,861940.875,737.0703735351562,0.0
3,415096.5625,513.2217407226562,0.0011249999515712261,401933.5625,503.7455749511719,0.0
4,137661.4375,296.966552734375,0.0010000000474974513,135244.4375,294.6128845214844,0.0010000000474974513
5,39998.921875,140.96499633789062,0.0043750000186264515,40752.46484375,143.70652770996094,0.004000000189989805
6,27539.828125,109.86203002929688,0.00800000037997961,28100.52734375,111.177978515625,0.004999999888241291
7,22556.498046875,98.32723236083984,0.008249999955296516,22917.4375,99.56204986572266,0.006000000052154064
8,18542.19921875,88.15740966796875,0.013875000178813934,18746.75390625,89.25978088378906,0.012000000104308128
9,15051.423828125,78.73922729492188,0.010374999605119228,15132.080078125,79.58126831054688,0.008999999612569809
10,12158.1318359375,70.42223358154297,0.01924999989569187,12100.5029296875,70.98667907714844,0.017999999225139618
11,9663.240234375,61.01958084106445,0.01425000000745058,9456.92578125,61.22712326049805,0.017000000923871994
12,7686.3427734375,53.72089385986328,0.023125000298023224,7372.31982421875,53.63652420043945,0.01899999938905239
13,6103.33154296875,47.1785774230957,0.014999999664723873,5753.998046875,46.887107849121094,0.013000000268220901
14,4850.48828125,40.6673469543457,0.016875000670552254,4545.6103515625,40.39957809448242,0.01600000075995922
15,3932.27490234375,35.66938781738281,0.019500000402331352,3713.988037109375,35.67059326171875,0.024000000208616257
16,3153.84912109375,30.45818519592285,0.026499999687075615,2995.864990234375,30.54724884033203,0.020999999716877937
17,2604.145263671875,26.88857078552246,0.04012500122189522,2505.830078125,27.09518814086914,0.03500000014901161
18,2186.587158203125,23.573047637939453,0.05362499877810478,2149.69873046875,24.123950958251953,0.050999999046325684
19,1895.719482421875,23.488317489624023,0.02787500061094761,1900.9749755859375,24.075593948364258,0.01899999938905239
20,1649.488037109375,21.331703186035156,0.04675000160932541,1683.123046875,22.224685668945312,0.050999999046325684
21,1466.5283203125,20.796306610107422,0.051874998956918716,1512.906005859375,21.836463928222656,0.050999999046325684
22,1321.8201904296875,19.954355239868164,0.08900000154972076,1382.6246337890625,20.95122718811035,0.08799999952316284
23,1205.325927734375,19.237611770629883,0.05324999988079071,1288.64208984375,20.344934463500977,0.05299999937415123
24,1107.233154296875,18.708362579345703,0.10000000149011612,1200.1873779296875,19.77204704284668,0.10400000214576721
25,1016.6287231445312,17.760934829711914,0.06037500128149986,1111.7235107421875,18.911842346191406,0.0560000017285347
26,937.3716430664062,17.19110679626465,0.07437500357627869,1034.118896484375,18.41701889038086,0.07100000232458115
27,858.0808715820312,16.507963180541992,0.09562499821186066,961.7733154296875,17.666961669921875,0.09000000357627869
28,797.3047485351562,16.830215454101562,0.04312499985098839,898.3212280273438,17.89397621154785,0.0430000014603138
29,726.572265625,15.32249641418457,0.07649999856948853,824.2410888671875,16.586719512939453,0.07599999755620956
